training_mse,test_mse
0.07666768878698349,0.03684621304273605
0.021082868799567223,0.033673666417598724
0.01990518718957901,0.03208782151341438
0.018782518804073334,0.03259308263659477
0.01815684512257576,0.031943585723638535
0.017665114253759384,0.03182096779346466
0.017058074474334717,0.03061584196984768
0.01659475453197956,0.030389215797185898
0.016357440501451492,0.03040606901049614
0.016252294182777405,0.029984833672642708
0.01618858054280281,0.030324196442961693
0.016112996265292168,0.030993305146694183
0.016087740659713745,0.03060053288936615
0.016041705384850502,0.0305788591504097
0.01602408103644848,0.031047556549310684
0.016007917001843452,0.030111251398921013
0.015958121046423912,0.029832875356078148
0.01587475836277008,0.03146134689450264
0.01578817516565323,0.03021317347884178
0.015711717307567596,0.030783623456954956
0.015631096437573433,0.031057007610797882
0.015590996481478214,0.030583752319216728
0.015563911758363247,0.030244769528508186
0.015514190308749676,0.029983043670654297
0.015467832796275616,0.03171072527766228
0.015473391860723495,0.030347447842359543
0.015433743596076965,0.03076045587658882
0.015421074815094471,0.03163095563650131
0.015427669510245323,0.03148496896028519
0.015402509830892086,0.031015312299132347
0.015395822934806347,0.03146060183644295
0.01539050042629242,0.03183894231915474
0.015382032841444016,0.031791530549526215
0.015371866524219513,0.030643261969089508
0.015355022624135017,0.030873388051986694
0.015305561013519764,0.030237644910812378
0.015306071378290653,0.030478447675704956
0.015313749201595783,0.030604775995016098
0.01526519376784563,0.031019525602459908
0.015302103012800217,0.03082335740327835
0.015267648734152317,0.030772274360060692
0.015280107036232948,0.030130131170153618
0.015257276594638824,0.03116985410451889
0.015300475992262363,0.031161939725279808
0.015271520242094994,0.030469166114926338
0.015273676253855228,0.030719956383109093
0.01526461262255907,0.030438855290412903
0.015240829437971115,0.030884748324751854
0.015247934497892857,0.03051767498254776
0.015227168798446655,0.03181484714150429
0.015247334726154804,0.030526122078299522
0.015246939845383167,0.030874013900756836
0.015213917009532452,0.030809972435235977
0.015220873057842255,0.03121519275009632
0.015198776498436928,0.031181754544377327
0.015240000560879707,0.030712490901350975
0.015220070257782936,0.03208770975470543
0.01521493960171938,0.03153567388653755
0.015206861309707165,0.030735362321138382
0.015181759372353554,0.03054811805486679
0.015181563794612885,0.030576907098293304
0.015210628509521484,0.031055830419063568
0.015180735848844051,0.03164292499423027
0.015177754685282707,0.03076580911874771
0.015176624990999699,0.029905373230576515
0.01519573014229536,0.03025972843170166
0.015190955251455307,0.031089073047041893
0.015177495777606964,0.030879082158207893
0.015181693248450756,0.030706040561199188
0.015181529335677624,0.0309444610029459
0.015181934460997581,0.03138613700866699
0.015185222961008549,0.03065328858792782
0.015200654976069927,0.03126375004649162
0.015150208957493305,0.031327128410339355
0.015151492320001125,0.030023183673620224
0.015143985860049725,0.03051377274096012
0.015148201957345009,0.0314326174557209
0.015152519568800926,0.030572965741157532
0.015152297914028168,0.031277142465114594
0.01516001671552658,0.03169005736708641
0.015168690122663975,0.032266270369291306
0.015135467983782291,0.030952777713537216
0.015141252428293228,0.030891606584191322
0.015146153047680855,0.03062782995402813
0.015151183120906353,0.031382109969854355
0.015162946656346321,0.031159136444330215
0.015145832672715187,0.031276337802410126
0.015120484866201878,0.03101336769759655
0.015163624659180641,0.030837001278996468
0.015144665725529194,0.031089583411812782
0.015130900777876377,0.03061290830373764
0.015149387530982494,0.031243469566106796
0.015135334804654121,0.030957024544477463
0.015129716135561466,0.030956489965319633
0.015148837119340897,0.031155100092291832
0.015139453113079071,0.030345039442181587
0.015142005868256092,0.03138742968440056
0.015124284662306309,0.031728606671094894
